lambda_vac_nm,species,E_low_eV,log_gf
850.455,Si I,5.863,-1.44
853.823,Si I,5.871,-1.3
855.261,Si I,5.871,-1.17
859.827,Si I,5.871,-1.05
860.791,Si I,5.863,-1.75
863.399,Si I,5.863,-0.38
868.167,Si I,5.863,-1.1
868.861,Si I,5.863,-1.56
869.791,S I,7.87,0.048
869.871,S I,7.87,-0.49
869.940,S I,7.87,-0.64
852.036,Ca I,2.933,-0.44
854.706,Ca I,2.933,-0.48
855.512,Ca I,2.933,0.01
857.718,Ca I,2.521,-0.58
860.369,Ca I,2.521,-0.36
864.481,Ca I,2.523,0.51
865.424,Ca I,2.521,-1.31
851.645,Ti I,1.443,-1.69
852.640,Ti I,1.46,-1.5
857.11,Ti I,1.43,-1.8
858.629,Ti I,1.43,-1.4
864.885,Ti I,1.067,-1.09
865.961,Ti I,1.067,-1.11
867.537,Ti I,1.067,-1.37
868.587,Ti I,1.053,-1.82
856.302,Cr I,2.989,-0.37
856.648,Cr I,2.989,-0.27
866.167,Cr I,3.012,-0.87
866.586,Cr I,3.012,-0.62
847.075,Fe I,2.223,-2.07
848.39,Fe I,4.186,-1.64
849.320,Fe I,2.223,-2.06
851.80,Fe I,2.198,-2.07
852.881,Fe I,4.913,-0.81
853.641,Fe I,4.988,-0.92
858.494,Fe I,2.424,-2.13
860.12,Fe I,4.386,-0.96
860.945,Fe I,4.988,-1.23
861.345,Fe I,2.845,-1.9
862.596,Fe I,4.988,-0.97
867.715,Fe I,2.831,-1.79
869.098,Fe I,2.176,-1.21
861.640,Ni I,3.542,-0.07
862.528,Ni I,4.154,-0.42
865.687,Ni I,4.105,-0.68
868.371,Ni I,4.154,-0.72
851.761,Zr I,0.687,-0.91
853.372,Zr I,0.516,-1.33
864.245,Zr I,0.0,-0.99
869.65,Zr I,0.154,-0.52
853.276,Ce II,0.736,-0.13
856.924,Ce II,0.704,-0.02
858.151,Ce II,0.704,-0.21
867.046,Ce II,0.122,0.15
855.933,Nd II,0.064,-0.53
861.773,Nd II,0.321,-0.66
869.284,Nd II,0.064,-0.17
